"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071496","GO:0071496","cellular response to external stimulus","43/915","302/15025",1.64204476524059e-07,6.55175861330995e-05,5.02718320435196e-05,"ATP1A2/CASR/CASP8/CNN2/ATP2B1/PTGS2/WNT11/MTMR3/SLC7A5/PRKAG2/CPEB4/ELAPOR1/FOXO3/CDKN1A/IRF1/IL1B/ATF4/HNRNPA1/AGT/GABARAPL1/MYOCD/WDR45B/PMAIP1/SIK1/BCL10/UCN2/PLIN2/FOXO1/NR4A2/KLF10/WIPI2/KCNB1/ATF3/NUAK2/ZC3H12A/RICTOR/MN1/FOS/EIF2AK3/FOSL1/RNF152/ULK1/LRRK2",43
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","58/915","474/15025",2.73810934393552e-07,9.46838211132903e-05,7.26511679257559e-05,"PLAUR/CASP8/PTGS2/FBLN1/CYLD/PPM1A/HIF1A/BMP7/RIOK3/PPIF/PDE10A/PDE4D/PPP2CA/BCL6/PLEK/ARHGEF2/RGS2/TNFAIP3/UBE2B/DUSP1/ADRA1A/IL1B/NR1D1/LIF/CDKN2D/AGT/SORL1/THBS1/SLC24A4/MCL1/DUSP10/TNIP1/TBC1D7/FOXO1/RABGEF1/DYRK1A/SHANK2/NLRP3/ATF3/ZC3H12A/SPRY1/CARD19/MAPK7/DDIT4/RELA/DDIT3/PTPN2/RNF152/PER1/HAPSTR1/ADGRG3/DUSP8/MUC1/MAGI2/LRRK2/SRC/DDX3X/CASTOR3P",58
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","46/915","342/15025",3.33277827526997e-07,0.000102408809200878,7.85785734759005e-05,"TENM1/EDN1/CCNK/BMP7/PRKAG2/CDKN1B/VEGFA/PPP2CA/RGS2/TNFAIP3/DUSP1/PTK2B/FLT3/CDKN1A/IL1B/CDKN2D/CDKN1C/PPP1R1B/CCNH/CCNJL/AGT/SORL1/THBS1/MYOCD/PIK3R5/DUSP10/LATS2/ADAM8/S100A12/CCNL1/SPRY1/RICTOR/NOD2/CDK12/TRIB1/TRAF6/SFN/EPGN/IRAK1/HGS/LRRK2/SERTAD1/SRC/HTT/AGER/DDX3X",46
"GO:0001890","GO:0001890","placenta development","25/915","132/15025",3.35637122887012e-07,0.000102408809200878,7.85785734759005e-05,"CASP8/FGFR2/PTGS2/HSD17B2/HIF1A/BMP7/ITGB8/CDKN1B/HES1/BIRC6/LHX4/LIF/ADM/NODAL/TPPP3/HEY1/JUNB/CEBPB/SP3/FOSL1/SETD2/PHLDA2/SOCS3/ZFP36L1/WNT7B",25
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","15/915","53/15025",3.68658154042556e-07,0.00010623499138993,8.15144140605206e-05,"HIF1A/KLF5/FOXO3/EGR1/NR1H2/KLF4/PNPT1/MYOCD/ZC3H12A/SMAD3/FOS/RELA/FOSL1/JUN/KCNQ1OT1",15
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","48/915","369/15025",5.05076229487603e-07,0.000126841996022396,9.73262279099935e-05,"IGF1/ROCK1/STK10/SMARCD3/BMP7/NFAT5/RIPK2/JAK3/VSIR/MAP3K8/ZBTB16/CD83/BCL6/HES1/IL1A/FOXO3/SOX4/IRF1/IL1B/TNFSF9/RARA/KLF4/LRRC32/BCL10/DUSP10/NFKBIZ/TNIP1/ADAM8/CD1D/ICOSLG/NLRP3/S100A9/ZC3H12A/NOD2/NFKBID/CCDC88B/LRG1/CEBPB/RELA/TRAF6/PTPN2/EGR3/IRAK1/SELL/CD55/SRC/PELI1/AGER",48
"GO:0036293","GO:0036293","response to decreased oxygen levels","39/915","272/15025",5.1353034826881e-07,0.000126841996022396,9.73262279099935e-05,"CREBBP/CASR/TGFBR3/PTGS2/EDN1/EP300/HIF1A/BMP7/PLAT/CDKN1B/VEGFA/CPEB4/IL1A/FOXO3/EGR1/PTK2B/CXCR4/PTGIS/ATF4/JUND/THBS1/BNIP2/MYOCD/PMAIP1/ADM/ADAM8/NR4A2/SMAD3/NKX3-1/DDIT4/MECP2/FOS/PLK3/MTHFR/IRAK1/ZFP36L1/SRC/AGER/MALAT1",39
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","9/915","19/15025",5.87559469277149e-07,0.000135242308401365,0.000103771811728828,"HIF1A/VEGFA/KLF2/ATF4/ATF3/MAPK7/CEBPB/DDIT3/MUC1",9
"GO:0070542","GO:0070542","response to fatty acid","15/915","55/15025",6.25759668716552e-07,0.000135242308401365,0.000103771811728828,"CPS1/DGAT2/PTGS2/EDN1/PLAT/HES1/FOXO3/FFAR2/FFAR1/ILDR1/FOXO1/ZC3H12A/PLCB1/FFAR3/SRC",15
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","43/915","320/15025",8.26240222507307e-07,0.000164834924390208,0.000126478310983811,"PAX6/IGF1/FGFR2/TGFBR3/CDC42/B4GALT1/HIF1A/PPP1R16B/HOXA5/AREG/CDKN1B/VEGFA/HES1/KDM5B/TNFAIP3/NR4A1/EREG/ID1/NR1D1/ZFP36/DLL4/CDKN1C/THBS1/CDH13/DUSP10/NODAL/SGPP2/JCAD/FRS2/SMAD3/NKX3-1/NOD2/CTNNB1/LRG1/SFN/JUN/EGR3/EPGN/ZNF703/ZFP36L1/IRS2/C5AR1/NEAT1",43
"GO:0010508","GO:0010508","positive regulation of autophagy","25/915","139/15025",9.24775402078824e-07,0.000172034083987092,0.000132002246822561,"RB1CC1/ROCK1/TP53INP2/ATG16L1/TOM1/HIF1A/RIPK2/ATG2A/ELAPOR1/FOXO3/TICAM1/PLK2/C9orf72/FOXO1/BCL2L11/ZC3H12A/NOD2/PLK3/RNF152/ULK1/SNX18/TBK1/LRRK2/HTT/TRIM13",25
"GO:0048659","GO:0048659","smooth muscle cell proliferation","24/915","130/15025",9.32915878506881e-07,0.000172034083987092,0.000132002246822561,"IGF1/FGFR2/PTGS2/EDN1/CDKN1B/HBEGF/MEF2D/TNFAIP3/GNA13/CDKN1A/EREG/AGT/THBS1/CDH13/MYOCD/FRS2/CTNNB1/SF1/TRIB1/DDIT3/JUN/IRAK1/PRKG1/SRC",24
"GO:0023061","GO:0023061","signal release","51/915","414/15025",1.18417289438706e-06,0.000203320627725124,0.000156008501705416,"ABCC8/SYN1/CASR/CAMK2A/PTGS2/STXBP2/EDN1/RPH3A/OSM/HIF1A/HNF4A/BLOC1S6/STX1A/NRXN2/OPRM1/IL1A/KDM5B/ADRA1A/CRY2/NR4A1/SOX4/IL1B/FFAR2/FFAR1/NR1D1/LIF/PER2/SNAP25/STX11/AGT/MCTP2/ILDR1/PTGES/ADM/FOXO1/SYN2/KCNB1/CCDC186/NKX3-1/MIDN/RIMS2/HCAR2/SYN3/FFAR3/IRS2/PCLO/LRRK2/PIM3/VAMP2/RAB44/DOC2B",51
"GO:0044057","GO:0044057","regulation of system process","57/915","484/15025",1.21514159619796e-06,0.000203320627725124,0.000156008501705416,"ABCC8/JARID2/IGF1/ATP1A2/CASR/DSG2/ROCK1/ATP2B1/PTGS2/EDN1/STX1A/OPRM1/HBEGF/PDE4D/IL1A/TNR/RGS2/KDM5B/ECE1/SGK1/FOXO3/PTK2B/ADRA1A/CRY2/NR4A1/THRA/TNNT3/NR1H2/GCH1/PER2/AGT/MYOCD/ADM/FOXO1/CACNA1C/PROK2/ZC3H12A/SMAD3/NKX3-1/MECP2/DLGAP1/KCND3/EIF2AK3/GRK2/CNIH2/RIMS2/SCN4B/PDE4B/PRKG1/LRRK2/RELN/NLGN3/SRC/DLGAP2/AGER/SHISA9/GRIN2B",57
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","23/915","126/15025",1.91911397199559e-06,0.000292777769786503,0.00022464922378066,"IGF1/FGFR2/PTGS2/EDN1/CDKN1B/HBEGF/MEF2D/TNFAIP3/GNA13/CDKN1A/EREG/AGT/THBS1/CDH13/MYOCD/FRS2/CTNNB1/SF1/TRIB1/JUN/IRAK1/PRKG1/SRC",23
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","24/915","136/15025",2.1599613626504e-06,0.000296284255002131,0.000227339759959222,"IGF1/RB1CC1/CYLD/IL1A/BIRC6/ARHGEF2/TNFAIP3/G0S2/IL1B/AGT/THBS1/PMAIP1/IL19/BCL10/MCL1/PHIP/ITPRIP/DEDD2/ATF3/MAPK7/RELA/SRC/HTT/DDX3X",24
"GO:0001701","GO:0001701","in utero embryonic development","45/915","354/15025",2.16143481091177e-06,0.000296284255002131,0.000227339759959222,"IGF1/CASP8/FGFR2/XAB2/EDN1/YTHDC1/HSD17B2/UPB1/HIF1A/BMP7/ELL/ZFAND5/SUPT6H/VEGFA/HES1/BIRC6/SYF2/UBE2B/GNA13/RBBP6/SBDS/KLF2/LIF/WDR74/KLF4/ADM/LATS2/BCL2L11/NODAL/HEY1/COPS2/NDEL1/SMAD3/CTNNB1/JUNB/CEBPB/SP3/TRAF6/FOSL1/SETD2/PHLDA2/SOCS3/ZFP36L1/WNT7B/SCO2",45
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","43/915","332/15025",2.22135290148533e-06,0.000296284255002131,0.000227339759959222,"PLAUR/IGF1/RB1CC1/BCLAF1/MNT/PTGS2/CYLD/HIF1A/PPIF/IL1A/BIRC6/SFPQ/ARHGEF2/TNFAIP3/G0S2/IL1B/PLAGL2/CDKN2D/AGT/THBS1/PMAIP1/IL19/BCL10/MCL1/PHIP/ITPRIP/BCL2L11/NR4A2/DEDD2/ATF3/S100A9/MAPK7/NKX3-1/CTNNB1/EIF2AK3/RELA/DDIT3/PTPN2/MUC1/LRRK2/SRC/HTT/DDX3X",43
"GO:0050673","GO:0050673","epithelial cell proliferation","47/915","377/15025",2.22770116542956e-06,0.000296284255002131,0.000227339759959222,"PAX6/IGF1/FGFR2/TGFBR3/CDC42/B4GALT1/HIF1A/PPP1R16B/HOXA5/AREG/CDKN1B/VEGFA/HES1/KDM5B/TNFAIP3/NR4A1/EREG/ID1/NR1D1/ZFP36/DLL4/CDKN1C/THBS1/CDH13/DUSP10/COL8A1/NODAL/SGPP2/PROK2/VSTM4/JCAD/FRS2/SMAD3/NKX3-1/NOD2/CTNNB1/LRG1/CEBPB/SFN/JUN/EGR3/EPGN/ZNF703/ZFP36L1/IRS2/C5AR1/NEAT1",47
"GO:0140467","GO:0140467","integrated stress response signaling","12/915","40/15025",2.76244734006636e-06,0.000358220358823105,0.000274863510336602,"PPP1R15A/ATF4/PPP1R15B/FOS/JUNB/EIF2AK3/CEBPB/DDIT3/PTPN2/FOSL1/JUN/CEBPD",12
"GO:1901653","GO:1901653","cellular response to peptide","42/915","324/15025",2.8463513618169e-06,0.000360098158871811,0.00027630435170808,"IGF1/CPS1/CASR/ROCK1/CAMK2A/ATP2B1/EDN1/PXN/SRSF5/RIPK2/PLAT/JAK3/KLF3/ARHGEF2/FOXO3/NR4A1/IL1B/ID1/KLF2/PTPRE/AGT/SORL1/CACNA1A/PHIP/FOXO1/BCL2L11/NR4A2/NDEL1/NOD2/FOS/KLF11/RELA/PTPN2/PLCB1/SOCS3/ZFP36L1/FFAR3/IRS2/SRC/AGER/GNRHR2/VAMP2",42
"GO:0045444","GO:0045444","fat cell differentiation","31/915","207/15025",2.98511738776907e-06,0.00036866199738948,0.000282875409602879,"PTGS2/RUNX1T1/EP300/BMP7/KLF5/ZBTB16/HES1/RGS2/ARL4A/NR4A1/FFAR2/NR1D1/ZFP36/PER2/KLF4/JDP2/DUSP10/FOXO1/NOCT/NR4A2/ZC3H12A/SMAD3/LRG1/CEBPB/DDIT3/MEX3C/METRNL/PLCB1/ZFP36L1/LAMB3/CEBPD",31
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","34/915","240/15025",3.59036326246635e-06,0.000423254869145749,0.000324764676923092,"CASR/ATP2B1/MTMR3/SLC7A5/PRKAG2/CPEB4/ELAPOR1/FOXO3/CDKN1A/ATF4/HNRNPA1/GABARAPL1/MYOCD/WDR45B/PMAIP1/SIK1/UCN2/PLIN2/FOXO1/NR4A2/KLF10/WIPI2/KCNB1/ATF3/NUAK2/ZC3H12A/RICTOR/MN1/FOS/EIF2AK3/FOSL1/RNF152/ULK1/LRRK2",34
"GO:0060537","GO:0060537","muscle tissue development","43/915","339/15025",3.83835713094076e-06,0.000432816487786733,0.0003321013343727,"IFRD1/LUC7L/JARID2/IGF1/DSG2/FGFR2/TGFBR3/CDC42/EDN1/EP300/BMP7/EMD/KLF5/ZFAND5/NEURL1/DDX5/VEGFA/MEF2D/RGS2/EGR1/ADRA1A/NR4A1/GPCPD1/DLL4/RARA/KDM6B/ITGA7/AGT/FLNB/FLOT1/MYOCD/SIK1/BIN3/NRG1/ATF3/HEY1/COPS2/FRS2/SMAD3/CTNNB1/FOS/ZBTB18/ALPK2",43
"GO:0010586","GO:0010586","miRNA metabolic process","18/915","87/15025",3.97582443990928e-06,0.000438778752549137,0.000336676197251892,"HIF1A/KLF5/DDX5/FOXO3/EGR1/TENT4B/NR1H2/RARA/KLF4/PNPT1/MYOCD/ZC3H12A/SMAD3/FOS/RELA/FOSL1/JUN/KCNQ1OT1",18
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","32/915","222/15025",4.76540068782659e-06,0.000492469559827477,0.000377873307906952,"CCDC88C/RB1CC1/CASR/CYLD/GADD45B/RIPK2/MAPK10/VEGFA/IL1A/DUSP1/PTK2B/IL1B/ZFP36/CRACR2A/AGT/MAPK8IP3/MINK1/DUSP10/FOXO1/MAPKAPK2/ZC3H12A/SMAD3/NOD2/TRIB1/TRAF6/PER1/PLCB1/IRAK1/ZFP36L1/WNT7B/LRRK2/AGER",32
"GO:0048871","GO:0048871","multicellular organismal homeostasis","53/915","458/15025",4.84209515157149e-06,0.000492469559827477,0.000377873307906952,"ABCC8/MLXIPL/ACADVL/PTGS2/TP53INP2/TF/WHRN/VSIG1/RHAG/VEGFA/ARRDC3/IL1A/KDM3A/AMPD2/TNFAIP3/EGR1/PTK2B/CXCR4/G0S2/IL1B/ID1/THRA/NR1D1/ATF4/NR1H2/PER2/KDM6B/KLF4/TLE3/FLG/ILDR1/MUC4/PTGES/FOXO1/ADAM8/ADGRV1/VSTM4/NOD2/MYO5B/CTNNB1/CEBPB/TRAF6/DDIT3/SFN/MEX3C/METRNL/TMEM119/MUC6/LAMA2/POTEI/SRC/MUC2/PLEKHM1",53
"GO:1903706","GO:1903706","regulation of hemopoiesis","45/915","367/15025",5.68028213504873e-06,0.000548565191977452,0.000420915647594035,"CASP8/SMARCD3/RCOR1/BRPF3/BRD1/HIF1A/NFKBIA/RIPK2/JAK3/HOXA5/VSIR/ZBTB16/NEDD9/CD83/BCL6/FOXO3/CSF3R/PTK2B/SOX4/IRF1/TNFSF9/ZFP36/LIF/RARA/DUSP10/NFKBIZ/ADAM8/KLF10/KAT6B/IKZF3/NLRP3/ZC3H12A/NFKBID/CTNNB1/FOS/JUNB/CEBPB/TRIB1/TRAF6/PTPN2/EGR3/IRF7/ZFP36L1/EVI2B/AGER",45
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","51/915","437/15025",5.74826525204239e-06,0.000548565191977452,0.000420915647594035,"PLAUR/IGF1/SMARCD3/BMP7/NFAT5/RIPK2/JAK3/VSIR/MAP3K8/ZBTB16/CD83/VEGFA/BCL6/HES1/IL1A/TNR/FOXO3/SOX4/IRF1/IL1B/TNFSF9/RARA/KLF4/FLOT1/LRRC32/MINK1/BCL10/DUSP10/NFKBIZ/ADAM8/NODAL/CD1D/ICOSLG/NLRP3/ZC3H12A/MAPK7/NOD2/NFKBID/CCDC88B/CEBPB/RELA/TRAF6/PTPN2/EGR3/ZNF703/IRAK1/PRKG1/CD55/SRC/PELI1/AGER",51
"GO:0050727","GO:0050727","regulation of inflammatory response","41/915","322/15025",5.84265524504266e-06,0.000548565191977452,0.000420915647594035,"IGF1/PTGS2/CYLD/OSM/NFKBIA/BCL6/TNFAIP3/PTGIS/ZBP1/IL1B/FFAR2/NR1D1/ZFP36/AGT/KLF4/DUSP10/NFKBIZ/PLK2/TNIP1/PTGES/ADAM8/RABGEF1/NLRP3/S100A9/S100A12/RICTOR/MAPK7/SMAD3/NOD2/CEBPB/RELA/PTPN2/METRNL/SOCS3/FFAR3/LILRA5/CNR2/LRRK2/SRC/AGER/NEAT1",41
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","26/915","164/15025",6.49002567214727e-06,0.000548565191977452,0.000420915647594035,"CASP8/SMARCD3/RIPK2/VSIR/ZBTB16/NEDD9/CD83/BCL6/FOXO3/SOX4/TNFSF9/LIF/RARA/DUSP10/NFKBIZ/ADAM8/KLF10/NLRP3/NFKBID/FOS/TRIB1/TRAF6/EGR3/ZFP36L1/EVI2B/AGER",26
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","26/915","164/15025",6.49002567214727e-06,0.000548565191977452,0.000420915647594035,"CASP8/SMARCD3/RIPK2/VSIR/ZBTB16/NEDD9/CD83/BCL6/FOXO3/SOX4/TNFSF9/LIF/RARA/DUSP10/NFKBIZ/ADAM8/KLF10/NLRP3/NFKBID/FOS/TRIB1/TRAF6/EGR3/ZFP36L1/EVI2B/AGER",26
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","38/915","290/15025",6.51710514379666e-06,0.000548565191977452,0.000420915647594035,"PLAUR/IGF1/SMARCD3/BMP7/NFAT5/RIPK2/JAK3/VSIR/MAP3K8/ZBTB16/CD83/BCL6/HES1/IL1A/FOXO3/SOX4/IL1B/TNFSF9/RARA/FLOT1/BCL10/DUSP10/NFKBIZ/ADAM8/NODAL/CD1D/ICOSLG/NLRP3/NOD2/NFKBID/CCDC88B/RELA/TRAF6/EGR3/IRAK1/CD55/SRC/AGER",38
"GO:0009896","GO:0009896","positive regulation of catabolic process","55/915","487/15025",6.66236700565993e-06,0.000548565191977452,0.000420915647594035,"MLXIPL/IGF1/RB1CC1/ROCK1/TP53INP2/ATG16L1/GGA1/GTPBP1/TOM1/HIF1A/RIPK2/VSIR/ATG2A/CDKN1B/TENT4A/APC2/ELAPOR1/RNF19B/TNFAIP3/FOXO3/PTK2B/TENT4B/IL1B/TICAM1/ZFP36/AGTPBP1/SORL1/PNPT1/TOB1/PLK2/C9orf72/FOXO1/NOCT/ADAM8/BCL2L11/MOV10/ZC3H12A/NOD2/TRIB1/PLK3/RNF152/ULK1/ARIH2/PNPLA2/ZFAND2A/SNX18/TBK1/ZFP36L1/IRS2/LRRK2/HTT/SMURF1/TRIM13/PLIN5/KCNQ1OT1",55
"GO:0051249","GO:0051249","regulation of lymphocyte activation","54/915","475/15025",6.66273512523222e-06,0.000548565191977452,0.000420915647594035,"IGF1/SMARCD3/BLOC1S6/RIPK2/JAK3/AHR/VSIR/MAP3K8/SUPT6H/ZBTB16/NEDD9/CD83/BCL6/HES1/IL1A/TNFAIP3/FOXO3/CDKN1A/SOX4/IRF1/IL1B/TNFSF9/TICAM1/THEMIS2/RARA/DCAF15/LRRC32/BCL10/DUSP10/NFKBIZ/ADAM8/CD1D/ICOSLG/IKZF3/NLRP3/ZC3H12A/AP1G1/NOD2/NFKBID/CTNNB1/CCDC88B/JUNB/CEBPB/TRAF6/PTPN2/CLCF1/EGR3/ZFP36L1/IRS2/CD55/SRC/PELI1/AGER/RASSF5",54
"GO:0048511","GO:0048511","rhythmic process","36/915","269/15025",7.03965434263411e-06,0.000570541985550674,0.000437778504432559,"CREBBP/NFKB2/EP300/HNF4A/RELB/NAMPT/AHR/DDX5/MAPK10/OPRM1/SFPQ/KDM5B/FOXO3/EGR1/CRY2/EREG/ID1/NR1D1/ATF4/JUND/PER2/SIK1/NTRK2/NOCT/KLF10/DYRK1A/PROK2/PTX3/NFIL3/KDM2A/PER1/EGR3/NRIP1/USP7/SRC/TOP1",36
