"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903706","GO:1903706","regulation of hemopoiesis","65/1387","367/15025",1.9982152128458e-07,8.48011794559251e-05,6.83438142434061e-05,"TMEM176A/RUNX3/PRDM1/CASP8/SMARCD3/KAT6A/RCOR1/BRPF3/IL12RB1/BRD1/HIF1A/NFKBIA/RASSF2/RIPK2/JAK3/HOXA5/VSIR/FBXW7/ZBTB16/MDK/NEDD9/CD83/BCL6/FOXO3/CSF3R/PTK2B/IAPP/SOX4/IRF1/TNFSF9/ZFP36/LIF/LILRB2/RARA/IL15RA/IL10/DUSP10/MEIS1/NFKBIZ/PIK3R1/ADAM8/KLF10/KAT6B/IKZF3/NLRP3/ZC3H12A/NFKBID/CTNNB1/INPP5D/KLF13/FOS/JUNB/CEBPB/TRIB1/TRAF6/PTPN2/EGR3/IRF7/ZFP36L1/EVI2B/ADA/DLL1/MAFB/AGER/LYN",65
"GO:0001819","GO:0001819","positive regulation of cytokine production","72/1387","426/15025",2.96411367822284e-07,0.00010363325277228,8.35211470211898e-05,"ABCC8/CASP8/BCL3/PANX2/PTGS2/FCN1/WNT11/IL12RB1/OSM/HMOX1/HIF1A/RIOK3/SLC7A5/MEFV/RIPK2/MDK/CD83/PDE4D/IL1A/ARHGEF2/EGR1/TNFRSF8/CD244/EREG/IRF1/IL1B/FFAR2/TICAM1/ATF4/LILRB2/RARA/AGT/IL10/FLOT1/SORL1/THBS1/BCL10/PIK3R1/ADAM8/GBP5/NODAL/NLRP3/MAPKAPK2/DDX21/SMAD3/NOD2/CCDC88B/EIF2AK3/CEBPB/RELA/HPSE/TRAF6/DDIT3/SETD2/NLRP10/PLCB1/CCBE1/TBK1/IRAK1/PDE4B/IRF7/FFAR3/LILRA5/LRRK2/CD55/ARID5A/SRC/PELI1/C5AR1/AGER/CRLF2/DDX3X",72
"GO:0060284","GO:0060284","regulation of cell development","74/1387","442/15025",2.97631151155703e-07,0.00010363325277228,8.35211470211898e-05,"ABCC8/IFRD1/PAX6/IGF1/RUFY3/TNFRSF1B/FSTL4/SPEN/ROCK1/CDC42/FBLN1/SMARCD3/SEMA5B/ARHGAP4/SEMA6A/HIF1A/BMP7/SLC7A5/PTPRS/NEURL1/FBXW7/MDK/NEDD9/OPRM1/VEGFA/HES1/IL1A/TNR/HOXB3/CXCR4/PREX1/RREB1/IL1B/BMP2/ID1/NR1D1/LIF/DLL4/GFAP/PER2/EDNRB/SORL1/PARP6/DUSP10/NTRK2/TENM4/TRIM11/NODAL/SYNJ1/NPR2/TRIM58/MELTF/HEY1/NDEL1/SEMA6B/CTNNB1/MECP2/TRIB1/CLCF1/ULK1/IST1/PLCB1/RFLNB/SLIT1/SPRY4/LRRK2/RELN/SEMA4A/DLL1/SMURF1/OLIG2/S1PR3/PLXNA4/LYN",74
"GO:0071496","GO:0071496","cellular response to external stimulus","56/1387","302/15025",3.00549582083827e-07,0.00010363325277228,8.35211470211898e-05,"PDK4/ATP1A2/CASR/CASP8/CNN2/ATP2B1/PTGS2/WNT11/MAP3K1/HMOX1/MTMR3/PHEX/SLC7A5/PRKAG2/NFKB1/CPEB4/ELAPOR1/FOXO3/TNFRSF8/CDKN1A/IRF1/IL1B/ATG14/ATF4/HNRNPA1/AGT/GABARAPL1/MYOCD/WDR45B/PMAIP1/SIK1/BCL10/UCN2/PLIN2/FOXO1/NR4A2/KLF10/WIPI2/KCNB1/USF1/ATF3/NUAK2/ZC3H12A/RICTOR/MIOS/MN1/FOS/EIF2AK3/FOSL1/RNF152/ULK1/NIM1K/PDE2A/LRRK2/FNIP1/LYN",56
"GO:0050727","GO:0050727","regulation of inflammatory response","58/1387","322/15025",5.08565191665552e-07,0.000165044362495227,0.000133014202451721,"IGF1/BIRC3/TNFRSF1B/PTGS2/CYLD/OSM/NFKBIA/MEFV/NFKB1/BST1/MDK/BCL6/TNFAIP3/PTGIS/ZBP1/IL1B/FFAR2/NR1D1/ZFP36/MAS1/NINJ1/AGT/EDNRB/AOAH/IL10/KLF4/DUSP10/NFKBIZ/PLK2/TNIP1/PTGES/ADAM8/RABGEF1/NCF1/NLRP3/S100A9/S100A12/RICTOR/MAPK7/SMAD3/NOD2/CEBPB/RELA/NR1D2/PTPN2/METRNL/NLRP10/SOCS3/FFAR3/PDE2A/LILRA5/CNR2/LRRK2/ADA/SRC/AGER/NEAT1/LYN",58
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","77/1387","474/15025",5.91494676230404e-07,0.000176414846161702,0.000142178016310739,"PLAUR/BID/HERPUD1/CASP8/RPS6KA6/PTGS2/DGKD/FBLN1/CYLD/SEMA6A/PPM1A/HIF1A/BMP7/RASSF2/RIOK3/RASAL3/PPIF/SH2B3/PDE10A/PDE4D/PPP2CA/BCL6/PLEK/ARHGEF2/RGS2/TNFAIP3/UBE2B/DUSP1/DUSP4/ADRA1A/IL1B/BMP2/NR1D1/LIF/CDKN2D/AJUBA/AGT/SORL1/THBS1/DUSP6/SLC24A4/MCL1/DUSP10/TNIP1/TBC1D7/FOXO1/RABGEF1/DYRK1A/SHANK2/NLRP3/ATF3/ZC3H12A/SPRY1/MIOS/CARD19/WNK2/MAPK7/DDIT4/RELA/DDIT3/PTPN2/RNF152/PER1/HAPSTR1/ADGRG3/DUSP8/MUC1/PDE2A/MAGI2/SPRY4/LRRK2/SRC/DDX3X/FNIP1/LYN/CASTOR3P/SOD2",77
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","16/1387","43/15025",6.07555207009669e-07,0.000176414846161702,0.000142178016310739,"BCLAF1/NEDD4/HMOX1/HIF1A/VEGFA/EGR1/CHD6/KLF2/ATF4/ATF3/MAPK7/CEBPB/RELA/DDIT3/JUN/MUC1",16
"GO:1901652","GO:1901652","response to peptide","72/1387","441/15025",1.13604158568681e-06,0.000284888246737916,0.000229599983633545,"PDK4/ABCC8/IGF1/CPS1/CASR/ROCK1/TGFBR3/LRP6/CAMK2A/ATP2B1/PTGS2/ACTN2/EDN1/PXN/SRSF5/NFKBIA/BMP7/PHEX/TIMP1/RIPK2/PLAT/JAK3/NFKB1/AREG/KLF3/CDKN1B/GHR/ARHGEF2/TNFAIP3/FOXO3/EGR1/CRY2/NR4A1/EREG/IL1B/ID1/KLF2/MAS1/JUND/PTPRE/AGT/EDNRB/IL10/SORL1/PNPT1/SLC24A4/CACNA1A/PIK3R1/PHIP/ADM/FOXO1/BCL2L11/NR4A2/ZDHHC7/USF1/DDR2/NDEL1/NOD2/FOS/KLF11/RELA/PTPN2/PLCB1/SOCS3/ZFP36L1/FFAR3/IRS2/SRC/AGER/GNRHR2/VAMP2/LYN",72
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","34/1387","154/15025",1.20422028202555e-06,0.000288855795475433,0.000232797550172811,"IGF1/TNK2/OSM/EHD4/RIPK2/NEURL1/AREG/FBXW7/NEDD9/VEGFA/GHR/HBEGF/HES1/ARHGEF2/PTK2B/ADRA1A/FLT3/EREG/LIF/AGT/FGF7/ANGPT1/LRRK1/NRG1/NCF1/RICTOR/IL31RA/NOD2/CLCF1/EPGN/LILRA5/RELN/SRC/LYN",34
"GO:0060537","GO:0060537","muscle tissue development","59/1387","339/15025",1.31657217780267e-06,0.000302647029372388,0.000243912319256073,"IFRD1/LUC7L/JARID2/IGF1/DSG2/CTDP1/FGFR2/TGFBR3/CDC42/ACTN2/EDN1/EP300/BMP7/EMD/KLF5/ZFAND5/NEURL1/DDX5/CNTNAP1/PPARGC1A/BVES/VEGFA/MEF2D/RGS2/EGR1/ADRA1A/NR4A1/GPCPD1/BMP2/DLL4/RARA/KDM6B/ITGA7/AGT/FLNB/FLOT1/MYOCD/SIK1/BIN3/TENM4/SORBS2/TTN/NRG1/NPHS1/ATF3/PDLIM5/HEY1/COPS2/FRS2/SMAD3/CTNNB1/FOS/S1PR1/NR1D2/ZBTB18/BCL9L/DLL1/ALPK2/DMD",59
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","56/1387","320/15025",2.04277812600463e-06,0.000399456543138802,0.000321934010325653,"PAX6/BID/IGF1/RUNX3/FGFR2/TGFBR3/CDC42/B4GALT1/HMOX1/HIF1A/PPP1R16B/HOXA5/AREG/FBXW7/MDK/CDKN1B/VEGFA/HES1/WDR48/KDM5B/TNFAIP3/NR4A1/RREB1/EREG/BMP2/ID1/NR1D1/ZFP36/DLL4/CDKN1C/EDNRB/IL10/THBS1/FGF7/CDH13/DUSP10/NODAL/SGPP2/JCAD/FRS2/SMAD3/NKX3-1/NOD2/CTNNB1/ATOH8/MTSS1/LRG1/SFN/JUN/EGR3/EPGN/ZNF703/ZFP36L1/IRS2/C5AR1/NEAT1",56
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","39/1387","193/15025",2.17201151537432e-06,0.000399456543138802,0.000321934010325653,"CASR/GNA15/ADCY2/EDN1/GNAO1/RGS1/OPRM1/ARRDC3/PDE4D/GNAT1/VIPR1/RGS2/GNA13/ADRA1A/IAPP/PTGER2/CXCL9/UCN2/ADM/PTGIR/GRIK3/ADCY1/S1PR1/FPR1/ADGRE1/RIMS2/ADGRD2/CHRM4/CHRM2/ADGRG3/PDE4B/FFAR3/GNG2/PDE2A/CNR2/GRM7/AVPR1B/ADGRG1/S1PR3",39
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","67/1387","408/15025",2.17213998444155e-06,0.000399456543138802,0.000321934010325653,"BIRC3/TNFRSF1B/CASP8/ZC3H15/SP100/EDN1/CXCL2/CYLD/IL12RB1/OSM/HIF1A/NFKBIA/PLP2/RIPK2/LILRA1/LILRB5/JAK3/IL10RA/SH2B3/GHR/PRLR/IL1A/TNFAIP3/FOXO3/CSF3R/EGR1/PTK2B/CXCR4/FLT3/ZBP1/EREG/IRF1/IL1B/LILRB2/NR1H2/IRAK2/IL15RA/OASL/DUOX1/CXCL9/DUOX2/NLRC5/IFITM3/ANGPT1/RABGEF1/DCST1/CXCL1/IL31RA/CXCL8/RELA/TRAF6/PTPN2/CLCF1/GPR35/PLCB1/TBK1/CCR4/IRAK1/IFITM2/IRF7/YTHDF3/IFITM1/LILRA5/SRC/CRLF2/LYN/CCL3L3",67
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","42/1387","216/15025",2.55583860328789e-06,0.000414817527805853,0.000334313888641219,"CD38/BID/IGF1/TNFRSF1B/TNFRSF9/IL12RB1/RIPK2/RASAL3/JAK3/AHR/VSIR/BST1/PRLR/BCL6/HES1/IL1A/CDKN1A/IRF1/IL1B/TNFSF9/TICAM1/LILRB2/IL10/LRRC32/CD1D/ICOSLG/IKZF3/CTNNB1/CCDC88B/INPP5D/GPR183/LGALS9C/CEBPB/TRAF6/CLCF1/IRS2/CD55/ADA/PELI1/AGER/LYN/RASSF5",42
"GO:0010586","GO:0010586","miRNA metabolic process","23/1387","87/15025",2.59238059662621e-06,0.000414817527805853,0.000334313888641219,"HIF1A/KLF5/DDX5/NFKB1/FOXO3/EGR1/TENT4B/BMP2/NR1H2/RARA/IL10/KLF4/PNPT1/MYOCD/ZC3H12A/SMAD3/ATOH8/FOS/RELA/FOSL1/JUN/POU5F1/KCNQ1OT1",23
"GO:0044057","GO:0044057","regulation of system process","76/1387","484/15025",2.63161382512323e-06,0.000414817527805853,0.000334313888641219,"CD38/ABCC8/JARID2/IGF1/ATP1A2/TNFRSF1B/CASR/DSG2/CELF2/CTDP1/ROCK1/ABCC9/ATP2B1/PTGS2/CACNG5/EDN1/STX1A/OPRM1/BVES/HBEGF/PDE4D/HRH2/IL1A/TNR/RGS2/KDM5B/ECE1/SGK1/FOXO3/PTK2B/ADRA1A/CRY2/NR4A1/THRA/TNNT3/NR1H2/GCH1/PER2/AGT/EDNRB/IL10/MYOCD/ADM/TENM4/FOXO1/CACNA1C/PROK2/ZC3H12A/CACNB2/SMAD3/NKX3-1/SCN11A/MECP2/DLGAP1/KCND3/EIF2AK3/GRK2/CNIH2/RIMS2/SCN4B/GPR35/CHRM2/PDE4B/PRKG1/LRRK2/RELN/NLGN3/HRH1/ADA/SRC/DLGAP2/AVPR1B/DMD/AGER/SHISA9/GRIN2B",76
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","42/1387","220/15025",4.1637366044516e-06,0.000562287035980459,0.00045316398881571,"CD38/BID/IGF1/TNFRSF1B/TNFRSF9/IL12RB1/RIPK2/RASAL3/JAK3/AHR/VSIR/BST1/PRLR/BCL6/HES1/IL1A/CDKN1A/IRF1/IL1B/TNFSF9/TICAM1/LILRB2/IL10/LRRC32/CD1D/ICOSLG/IKZF3/CTNNB1/CCDC88B/INPP5D/GPR183/LGALS9C/CEBPB/TRAF6/CLCF1/IRS2/CD55/ADA/PELI1/AGER/LYN/RASSF5",42
"GO:0009991","GO:0009991","response to extracellular stimulus","69/1387","432/15025",4.17133282939513e-06,0.000562287035980459,0.00045316398881571,"PDK4/CPS1/CASR/ATP2B1/PTGS2/WNT11/HMOX1/MTMR3/BMP7/LIPG/PHEX/SLC7A5/PRKAG2/PPARGC1A/OPRM1/GHR/CPEB4/IL1A/ELAPOR1/FOXO3/CDKN1A/ATG14/ZFP36/ATF4/CDKN2D/NR1H2/RARA/CHSY1/HNRNPA1/SORL1/GABARAPL1/BNIP2/MYOCD/WDR45B/PMAIP1/SIK1/BCL10/UCN2/PLIN2/ADM/FOXO1/NOCT/NR4A2/KLF10/WIPI2/KCNB1/USF1/SHANK2/ATF3/NUAK2/ZC3H12A/RICTOR/MIOS/NOD2/MN1/FOS/EIF2AK3/DDIT3/FOSL1/RNF152/MTHFR/ULK1/NIM1K/LRRK2/SRC/F5/FNIP1/LYN/SOD2",69
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","29/1387","128/15025",4.17867835330774e-06,0.000562287035980459,0.00045316398881571,"PAX6/ROCK1/BMP7/CDKN1B/VEGFA/PRLR/HES1/IL1A/KLF7/IL1B/BMP2/ID1/ZFP36/LIF/BTG1/VEZF1/BLTP1/NODAL/SPRY1/CTNNB1/ATOH8/CEBPB/SFN/PLCB1/ZFP36L1/AJAP1/MAFG/DLL1/S1PR3",29
"GO:0009612","GO:0009612","response to mechanical stimulus","38/1387","191/15025",4.30711510440758e-06,0.000565770334071824,0.000455971283233524,"ATP1A2/CASP8/CNN2/PTGS2/EDN1/PKD2L2/WNT11/MAP3K1/WHRN/NFKBIA/NFKB1/NRXN2/MDK/PTK2B/TNFRSF8/CXCR4/PHF24/IRF1/IL1B/FOSB/JUND/PKDREJ/AGT/THBS1/BCL10/TTN/DDR2/ADGRV1/CTNNB1/FOS/RELA/FOSL1/JUN/PDE2A/SRC/HTT/DMD/STRC",38
"GO:0061614","GO:0061614","miRNA transcription","18/1387","60/15025",4.5371004748819e-06,0.00056889052999826,0.000458485942724908,"HIF1A/KLF5/DDX5/FOXO3/EGR1/BMP2/NR1H2/RARA/IL10/KLF4/MYOCD/SMAD3/ATOH8/FOS/RELA/FOSL1/JUN/POU5F1",18
"GO:0050673","GO:0050673","epithelial cell proliferation","62/1387","377/15025",4.92937027251216e-06,0.000587699307529468,0.000473644500730655,"PAX6/BID/IGF1/RUNX3/FGFR2/TGFBR3/CDC42/B4GALT1/HMOX1/HIF1A/PPP1R16B/HOXA5/AREG/FBXW7/MDK/CDKN1B/VEGFA/HES1/WDR48/KDM5B/TNFAIP3/NR4A1/RREB1/EREG/BMP2/ID1/NR1D1/ZFP36/DLL4/CDKN1C/EDNRB/IL10/THBS1/FGF7/CDH13/DUSP10/COL8A1/NODAL/SGPP2/PROK2/VSTM4/JCAD/FRS2/SMAD3/NKX3-1/NOD2/CTNNB1/ATOH8/MTSS1/LRG1/CEBPB/SFN/JUN/ERN1/EGR3/EPGN/ZNF703/ZFP36L1/IRS2/C5AR1/NEAT1/DACH1",62
"GO:0010752","GO:0010752","regulation of cGMP-mediated signaling","7/1387","10/15025",5.25993708467921e-06,0.000587699307529468,0.000473644500730655,"GUCA1A/RUNDC3A/PDE10A/PTK2B/THBS1/NPR2/PDE2A",7
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","42/1387","222/15025",5.28049889995401e-06,0.000587699307529468,0.000473644500730655,"MAPK8IP2/CCDC88C/RB1CC1/CASR/CYLD/GADD45B/RASSF2/MID1/RIPK2/NFKB1/MAPK10/VEGFA/IL1A/DUSP1/PTK2B/IL1B/SH2D3A/BMP2/ZFP36/CRACR2A/AGT/MAPK8IP3/MINK1/DUSP10/FOXO1/NCF1/NPHS1/MAPKAPK2/ZC3H12A/SMAD3/NOD2/TRIB1/TRAF6/PER1/PLCB1/IRAK1/ZFP36L1/WNT7B/LRRK2/MAP3K3/AGER/LYN",42
"GO:0033674","GO:0033674","positive regulation of kinase activity","69/1387","438/15025",6.76794291432504e-06,0.000691458167746875,0.000557266878559629,"CAMKK1/TENM1/GPRC5A/IGF1/LCP2/FGFR2/CDC42/EDN1/EPHA6/WNT11/CCNK/RASSF2/PRKAG2/NEURL1/AREG/FBXW7/MADD/CDKN1B/NEDD9/VEGFA/GHR/HBEGF/PRLR/PPP2CA/EGR1/PTK2B/ADRA1A/PILRB/FLT3/CDKN1A/EREG/IL1B/BMP2/ATG14/AJUBA/MAS1/AGT/THBS1/PIK3R5/BCL10/NTRK2/ADAM8/RANBP2/ANGPT1/NRG1/NCF1/DDR2/S100A12/SPDYA/RICTOR/LMTK2/NOD2/MOB3A/TRAF6/ERN1/EPGN/DAZAP2/EPHA10/IRAK1/ZFP91/LILRA5/LRRK2/RELN/EPHB4/SRC/AGER/DDX3X/LYN/SPDYE10",69
"GO:0140467","GO:0140467","integrated stress response signaling","14/1387","40/15025",7.094099496802e-06,0.000711602671342848,0.000573501938267783,"PPP1R15A/ATF4/PPP1R15B/FOS/JUNB/EIF2AK3/CEBPB/DDIT3/PTPN2/FOSL1/JUN/QRICH1/MAFB/CEBPD",14
"GO:0036293","GO:0036293","response to decreased oxygen levels","48/1387","272/15025",8.55098511891306e-06,0.000799589574593955,0.000644413222877587,"CD38/CREBBP/CASR/TGFBR3/PTGS2/EDN1/HMOX1/EP300/HIF1A/BMP7/PLAT/CDKN1B/VEGFA/CPEB4/IL1A/FOXO3/EGR1/PTK2B/CXCR4/PTGIS/BMP2/ATF4/AJUBA/JUND/THBS1/BNIP2/MYOCD/PMAIP1/ADM/ADAM8/NR4A2/USF1/DDR2/SMAD3/NKX3-1/DDIT4/MECP2/FOS/PLK3/MTHFR/IRAK1/ZFP36L1/ADA/SRC/MDM4/AGER/MALAT1/SOD2",48
"GO:0048871","GO:0048871","multicellular organismal homeostasis","71/1387","458/15025",8.81201952887239e-06,0.000803713940793659,0.00064773717331357,"CD38/PDK4/ABCC8/MLXIPL/ACADVL/PTGS2/TP53INP2/TF/WHRN/VSIG1/PPARGC1A/RHAG/VEGFA/ARRDC3/PRLR/IL1A/KDM3A/AMPD2/TNFAIP3/EGR1/PTK2B/IAPP/CXCR4/G0S2/IL1B/ID1/THRA/NR1D1/ATF4/NR1H2/PER2/KDM6B/LCA5/EDNRB/KLF4/TLE3/FLG/ILDR1/MUC4/PTGES/CDHR1/FOXO1/ADAM8/ANGPT1/LRRK1/SQSTM1/ADGRV1/VSTM4/NOD2/MYO5B/CTNNB1/INPP5D/S1PR1/CEBPB/NR1D2/TRAF6/DDIT3/SFN/MEX3C/METRNL/TMEM119/RP1L1/MUC6/LAMA2/POTEI/SRC/DLL1/MUC2/DMD/DIO2/PLEKHM1",71
