"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","102/2715","345/15025",9.3493209113401e-08,4.64349605263225e-05,3.78401462148449e-05,"ITGAL/CD9/FYN/ALOX5/KITLG/F7/SLC12A2/CNN2/SPI1/ROCK1/CDC42/STK10/EDN1/CXCL2/B4GALT1/MMP2/ICAM1/ITGA6/TREM2/HSD3B7/PDGFB/LGMN/ASB2/MMP9/CD99L2/CCL22/CCL7/CCL2/CCL8/CD81/SELPLG/NEDD9/RIPOR2/VEGFA/IL1A/PADI2/CSF3R/DUSP1/PTK2B/CCR2/CXCR4/TREM1/IL1B/TNFSF14/FFAR2/SBDS/ADGRE2/ANXA1/ITGA7/IL6/MYO1G/THBS1/EMILIN1/CH25H/TNFRSF11A/TRPM2/ECM1/S100A8/LYST/ITGA9/PLA2G7/FER/PTPRO/EPS8/ADAM8/ADAM17/RABGEF1/MMP14/SLAMF8/FCER1G/CXCL16/S100A9/S100A12/CD200R1/CXCL3/NOD2/CXCL8/PTGER4/OXSR1/VEGFB/AKIRIN1/CMKLR1/CHST2/ANO6/GBA1/TMEM102/CCL13/CSF1R/PLCB1/GAS6/PDE4B/BCR/GCNT1/SELL/CNR2/FUT4/SRC/C5AR1/AGER/ZNF580/ITGA1/CCL3L3",102
"GO:0031960","GO:0031960","response to corticosteroid","50/2715","136/15025",1.71567118452061e-07,7.3646503184493e-05,6.00150063040005e-05,"CPS1/ATP2B1/PTGS2/EDN1/BCKDHB/PCK2/ACSBG1/PLAT/PTGDS/RPS6KB1/COL1A1/AREG/CCND1/IGFBP2/SGK1/FOXO3/KLF9/GOT1/FLT3/FOSB/ZFP36/SERPINF1/PCNA/ANXA1/IL6/TPH2/NTRK3/PARP1/PAM/ADM/BCL2L11/AIFM1/ACE/AGL/CASP3/CYBB/DDIT4/GLB1/FOS/BCL2/FOSL1/A2M/TYMS/GBA1/PAPPA/SLIT3/ZFP36L1/WNT7B/AKR1C3/SRC",50
"GO:1901652","GO:1901652","response to peptide","123/2715","441/15025",1.72995141708541e-07,7.3646503184493e-05,6.00150063040005e-05,"ABCC8/FYN/IGF1/CPS1/CASR/F7/PRKCZ/ROCK1/TGFBR3/CAMK2A/ATP2B1/FCGR2B/PTGS2/EDN1/RAB10/MMP2/PXN/SLC9A1/ICAM1/NLRP1/CDC6/SORBS1/TREM2/LGMN/SRSF5/PCK2/NFKBIA/MMP9/BMP7/EEF2K/RIPK2/PLAT/JAK3/RPS6KB1/COL1A1/AREG/KLF3/CDKN1B/TIMELESS/ARHGEF2/SLC2A1/TNFAIP3/FOXO3/NR4A3/IDE/GOT1/EGR1/CRY2/INHBA/NR4A1/NCOA5/EREG/IL1B/ID1/KLF2/SNX6/JUND/SESN2/PTPRE/SERPINF1/LPIN3/ZBED3/EPHB2/ANXA1/CDK4/AGT/TBC1D4/EPRS1/SLC2A8/SORL1/BCAR3/PNPT1/USO1/HADH/RB1/SLC24A4/TNFRSF11A/CACNA1A/CAPN10/WDTC1/RAB13/PARP1/CCNA2/PHIP/ADM/SESN3/FOXO1/FER/BCL2L11/NR4A2/BTG2/ZBTB7B/SH2B2/NKX6-1/CYBB/PRKCB/NDEL1/SLC27A4/NOD2/IRS1/SYAP1/YWHAG/FOS/KLF11/RELA/ADCY6/PTPN2/LPL/UCP2/ERFE/PLCB1/SOCS3/ZFP36L1/FFAR3/IRS2/BACE1/GCNT1/PTPN1/SRC/AGER/GNRHR2/VAMP2/CYFIP1",123
"GO:0000302","GO:0000302","response to reactive oxygen species","62/2715","183/15025",1.93470050742629e-07,7.6872100161738e-05,6.26435659036134e-05,"FYN/HGF/EDN1/MMP2/PXN/HIF1A/MMP9/BMP7/MET/PLEKHA1/PPIF/COL1A1/AREG/HYAL1/IL1A/MPV17/PRDX1/TNFAIP3/FOXO3/NR4A3/PTK2B/KLF2/APOE/SESN2/GCH1/KDM6B/PCNA/STK26/ANXA1/IL6/IL18BP/SOD1/TRPM2/RHOB/SESN3/FER/AIFM1/PPP1R15B/PINK1/CASP3/PRDX3/MAPK7/ENDOG/CDK1/FOS/BCL2/RELA/PLK3/NET1/UCP2/FOSL1/SPHK1/JUN/NQO1/MAPT/LRRK2/AKR1C3/SRC/HBA1/ZNF580/HBB/HP",62
"GO:0043068","GO:0043068","positive regulation of programmed cell death","128/2715","473/15025",5.97025131065022e-07,0.000209309987126325,0.000170568046732756,"MARK4/FAS/BCLAF1/GRN/AIFM2/CASP8/CAMK2A/RPS6KA2/PTGS2/STK17B/CYLD/WNT11/B4GALT1/MMP2/SLC9A1/ITGA6/GADD45B/LGALS2/TIMP3/MMP9/MYBL2/BMP7/NTSR1/EEF1A2/SRPX/RGCC/TRIM35/RIPK2/GSDME/HOXA5/TGFBR1/NEURL1/SEPTIN4/CCL2/CTSC/ZBTB16/ING4/TPD52L1/BCL6/SFPQ/FOXO3/TNFRSF10B/INHBA/NR4A1/G0S2/PTGIS/ZBP1/CDKN1A/SOX4/PLAGL2/ATF4/AKAP12/PRR7/TOP2A/BTG1/RNF122/EIF2S1/ANXA1/EPHA7/AGT/ITM2C/IL6/SKIL/MTCH1/THBS1/CASP6/PHLDA1/PMAIP1/SOD1/SIK1/IL19/CAPN10/BCL10/MCL1/TP53BP2/S100A8/PARP1/RHOB/SNCA/CDKN2A/GSN/ADM/LATS2/FOXO1/ADAM8/BCL2L11/KCNMA1/AIFM1/ACE/RRP1B/PRMT2/DEDD2/ATF3/S100A9/ZC3H12A/CASP3/STK17A/MELK/MOAP1/HTRA1/NKX3-1/SLC27A4/ENDOG/CTNNB1/KLF11/CLEC7A/RARG/NET1/DDIT3/PTPN2/FOSL1/NUPR1/ANO6/JUN/SCRIB/NQO1/PHLDA2/HCAR2/BACE1/LRRK2/AKR1C3/SRC/HTT/UNC13B/RNPS1/ITGA1/DDX3X/PNMA2",128
"GO:0030595","GO:0030595","leukocyte chemotaxis","65/2715","201/15025",6.70591977324411e-07,0.000222040454714083,0.000180942186162271,"ALOX5/F7/SLC12A2/SPI1/EDN1/CXCL2/MMP2/HSD3B7/PDGFB/LGMN/CCL22/CCL7/CCL2/CCL8/NEDD9/RIPOR2/VEGFA/PADI2/CSF3R/DUSP1/PTK2B/CCR2/CXCR4/TREM1/IL1B/TNFSF14/FFAR2/SBDS/ADGRE2/ANXA1/IL6/THBS1/CH25H/TNFRSF11A/TRPM2/S100A8/LYST/ITGA9/PLA2G7/PTPRO/ADAM8/ADAM17/SLAMF8/FCER1G/CXCL16/S100A9/S100A12/CXCL3/NOD2/CXCL8/OXSR1/VEGFB/AKIRIN1/CMKLR1/ANO6/TMEM102/CCL13/CSF1R/GAS6/PDE4B/CNR2/C5AR1/ZNF580/ITGA1/CCL3L3",65
"GO:0048871","GO:0048871","multicellular organismal homeostasis","124/2715","458/15025",8.70114490840465e-07,0.000256038394145553,0.000208647324370819,"ABCC8/MLXIPL/HFE/SLC11A1/NCDN/AKAP11/NR1H3/SLC12A2/ELOVL1/ACADVL/PTGS2/FMO4/TP53INP2/LYZ/FH/TF/WHRN/SCD/NTSR1/CHMP4B/VSIG1/ACP5/FA2H/MET/HSPB1/CUBN/LIPA/CLCN3/TCIRG1/RHAG/ACOT13/VEGFA/LAMA4/ARRDC3/ACVR2B/IL1A/KDM3A/AMPD2/DOCK7/SLC2A1/PRDX1/STMN1/SGIP1/TNFAIP3/SPP1/TRIM32/NR4A3/EGR1/PTK2B/CCR2/CXCR4/G0S2/BBS2/IL1B/MKKS/ID1/THRA/NR1D1/ATF4/ATP1B2/NR1H2/PER2/KDM6B/BMAL1/GRHL1/IL6/KLF4/SLC40A1/HADH/SLC39A8/RB1/TLE3/BBS4/TNFRSF11A/SOD1/TRPM2/PRKACB/FLG/ILDR1/MUC4/PLAC8/PTGES/IL18/FOXO1/ADAM8/ADAM17/ACSL1/DRAM2/CPT2/ZBTB7B/NAPEPLD/BAP1/ADGRV1/ALDH1A1/VSTM4/NOD2/MYO5B/CTNNB1/FABP4/CYTL1/ALK/GATM/BCL2/CEBPB/ADCY6/CMKLR1/TRAF6/DDIT3/UCP2/SFN/MEX3C/METRNL/GBA1/CSF1R/TMEM119/BMP8A/MUC6/LAMA2/POTEI/SIGLEC15/SRC/HRNR/MUC2/PLEKHM1",124
"GO:0006979","GO:0006979","response to oxidative stress","108/2715","387/15025",9.40145433506275e-07,0.000256038394145553,0.000208647324370819,"FYN/ALOX5/HGF/GCLM/AIFM2/ABCB11/PTGS2/EDN1/SLC25A24/MMP2/ATRN/SLC4A11/PXN/TREM2/HNRNPM/PRODH/HIF1A/GSKIP/PSMB5/MMP9/BMP7/ADNP2/CYB5B/PON2/MET/HSPB1/PLEKHA1/PPIF/COL1A1/AREG/NCOA7/MACROH2A1/HYAL1/IL1A/MPV17/DHCR24/SFPQ/PRDX1/TNFAIP3/FOXO3/NR4A3/PTK2B/PRDX4/KLF2/MGAT3/ATF4/APOE/SESN2/C19orf12/GCH1/KDM6B/PCNA/BMAL1/EIF2S1/STK26/ANXA1/PNPLA8/IL6/IL18BP/PNPT1/IDH1/DUOX2/SOD1/TRPM2/MCL1/PARP1/PYCR2/RHOB/FANCD2/SNCA/SESN3/FOXO1/FER/NR4A2/AIFM1/MMP14/PPP1R15B/PINK1/ZC3H12A/CASP3/MELK/PRDX3/MAPK7/ENDOG/CTNNB1/CDK1/FOS/BCL2/OXSR1/RELA/PLK3/NET1/UCP2/FOSL1/SPHK1/JUN/NQO1/MAPT/LRRK2/AKR1C3/VKORC1L1/SRC/HBA1/ZNF580/ETV5/HBB/SELENOP/HP",108
"GO:0009612","GO:0009612","response to mechanical stimulus","62/2715","191/15025",1.04158247058165e-06,0.000269905718463766,0.000219947895618477,"FYN/ATP1A2/FAS/CASP8/CNN2/PTGS2/EDN1/SLC1A3/WNT11/MMP2/SLC9A1/WHRN/NFKBIA/ABHD12/RPS6KB1/COL1A1/NRXN2/IGFBP2/SLC2A1/CASP8AP2/PPL/LRP11/TNFRSF10B/PTK2B/CXCR4/PHF24/KCNJ2/IRF1/IL1B/TNFSF14/FOSB/MKKS/KCNC1/JUND/RAF1/ATP8A2/CHI3L1/AGT/THBS1/TNFRSF11A/BCL10/GSN/MMP14/PKD1L1/BTG2/ADGRV1/PKD1L2/ENDOG/CTNNB1/MAP3K2/FOS/PTGER4/RELA/CNTNAP2/FOSL1/JUN/BACE1/TLR7/SRC/HTT/STRC/TIFAB",62
"GO:1901653","GO:1901653","cellular response to peptide","93/2715","324/15025",1.43419006925575e-06,0.00034191091251057,0.000278625388612464,"FYN/IGF1/CPS1/CASR/PRKCZ/ROCK1/CAMK2A/ATP2B1/FCGR2B/EDN1/RAB10/PXN/SLC9A1/ICAM1/CDC6/SORBS1/TREM2/LGMN/SRSF5/PCK2/EEF2K/RIPK2/PLAT/JAK3/RPS6KB1/KLF3/TIMELESS/ARHGEF2/FOXO3/NR4A3/IDE/GOT1/INHBA/NR4A1/NCOA5/IL1B/ID1/KLF2/SNX6/PTPRE/LPIN3/EPHB2/CDK4/AGT/TBC1D4/EPRS1/SLC2A8/SORL1/BCAR3/USO1/RB1/CACNA1A/CAPN10/WDTC1/RAB13/PARP1/CCNA2/PHIP/SESN3/FOXO1/FER/BCL2L11/NR4A2/ZBTB7B/SH2B2/NKX6-1/PRKCB/NDEL1/SLC27A4/NOD2/IRS1/SYAP1/YWHAG/FOS/KLF11/RELA/ADCY6/PTPN2/LPL/UCP2/ERFE/PLCB1/SOCS3/ZFP36L1/FFAR3/IRS2/BACE1/PTPN1/SRC/AGER/GNRHR2/VAMP2/CYFIP1",93
"GO:0062197","GO:0062197","cellular response to chemical stress","89/2715","309/15025",2.05101417107335e-06,0.000452742387392487,0.000368942666094831,"FYN/ALOX5/HGF/FAS/AIFM2/PTGS2/EDN1/SLC25A24/MMP2/SLC4A11/PXN/TREM2/PRODH/HIF1A/GSKIP/MMP9/BMP7/ADNP2/NFAT5/RELB/MET/HSPB1/PLEKHA1/PPIF/NCOA7/MPV17/SFPQ/ARHGEF2/SLC2A1/PRDX1/TNFAIP3/FOXO3/NR4A3/KLF2/MGAT3/ATF4/SESN2/GCH1/KDM6B/PCNA/BMAL1/EIF2S1/STK26/ANXA1/PNPLA8/IL6/IL18BP/PNPT1/SOD1/TRPM2/MCL1/PARP1/PYCR2/RHOB/FANCD2/SNCA/FOXO1/FER/NR4A2/AIFM1/PINK1/NLRP3/ZC3H12A/CASP3/MELK/PRDX3/MAPK7/ENDOG/CTNNB1/CDK1/FOS/BCL2/EIF2AK3/OXSR1/RELA/NET1/DDIT3/SPHK1/JUN/NQO1/ZFP36L1/MAPT/LRRK2/AKR1C3/VKORC1L1/SRC/ZNF580/DDX3X/ETV5",89
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","74/2715","247/15025",3.08406058674096e-06,0.00063382762403366,0.00051651018320228,"MCM2/ACTR6/BAZ2A/SMARCD3/ESR1/DMC1/CENPI/OIP5/ASF1B/MED26/SUPT6H/ASF1A/GMNN/MACROH2A1/CENPA/NFE2/HJURP/H1-3/H2BC11/MED20/THRA/DLGAP5/H3-3B/ACTL6A/HMGA1/CENPO/CENPE/RB1/ZNF827/CHD1/KAT6B/H4C8/MIS18A/PADI4/VPS72/CENPV/CDT1/H1-4/CHD2/H2AC25/SETD2/TSPYL2/H1-10/H2BC13/H2AX/H2BC26/H4C3/H3C12/H4C11/H2BC12/H3C14/BRD2/H2BC15/TSPY26P/H4C14/GTF2H5/H2BC14/H3C8/H2BC6/H2BC17/H4C13/H3C11/H2BC9/H4C9/H4C5/H4C4/H3C7/H2BC10/H4C1/H4C2/H3C10/TAF11L11/H3C2/H3C3",74
"GO:0002274","GO:0002274","myeloid leukocyte activation","66/2715","214/15025",3.52723915577228e-06,0.000700744845613426,0.000571041454902922,"FGR/KMT2E/SLC11A1/NR1H3/GRN/GAB2/TRAF3IP2/SBNO2/CD84/SPI1/IFI35/JMJD6/FCGR2B/STXBP2/TREM2/BPI/NDRG1/RELB/ITGB8/PTGDS/CLNK/CTSC/PLA2G4A/VAMP8/NR4A3/CCR2/NR1D1/ADGRE2/TICAM1/JUND/PRAM1/ANXA1/DYSF/IL6/THBS1/SNCA/MFHAS1/IL18/FER/RABGEF1/VSIG4/FCER1G/S100A12/ZC3H12A/IL31RA/CLEC4D/CXCL8/PRKCE/C1QA/TRAF6/SPHK1/JUN/TMEM106A/BCR/MAPT/PLSCR1/CNR2/LRRK2/C5AR1/SUCNR1/FCGR3A/AGER/CRLF2/VAMP2/LILRA2/RAB44",66
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","101/2715","369/15025",5.32039451478438e-06,0.000990923478378592,0.000807509878000498,"ITGAL/CD4/HFE/FYN/ALOX5/IGF1/KITLG/PRKCZ/ROCK1/FCGR2B/STK10/SMARCD3/ICAM1/CD209/BMP7/SMAD7/NFAT5/DNAJA3/CD276/RIPK2/JAK3/VSIR/MAP3K8/CCL2/ZBTB16/CD81/SELPLG/RIPOR2/CD83/BCL6/HES1/IL1A/LOXL3/IGFBP2/FOXO3/NR4A3/CCR2/SOX4/IRF1/IL1B/TNFSF9/TNFSF14/PHF10/FCHO1/RARA/ANXA1/GPNMB/IL6/ACTL6A/KLF4/LRRC32/PPP3CA/SLC39A8/BCL10/DUSP10/S100A8/NFKBIZ/TNIP1/TNFRSF21/IL18/ADAM8/VSIG4/CD1D/RUNX1/TNFRSF13C/ICOSLG/ZBTB7B/ITGA5/NLRP3/TNFAIP8L2/S100A9/ZC3H12A/CASP3/NOD2/NFKBID/CCDC88B/LRG1/CEBPB/RELA/OLR1/CHST2/TRAF6/PTPN2/ZDHHC21/CD28/EGR3/SCRIB/CLEC4G/IRAK1/GCNT1/SEMA4D/SELL/CD55/FUT4/SRC/PELI1/PDCD1LG2/NRARP/PNP/AGER/PIK3R6",101
